name_id,name_en
"penyapu untuk hidangan","squeegees for dishes"
"penyapu untuk keperluan rumah tangga","squeegees for household purposes"
"memeras botol","squeeze bottles"
"memeras botol, kosongkan","squeeze bottles, empty"
"patung-patung kaca patri","stained glass figurines"
"kaca berlabel [produk setengah jadi]","stamped glass [semi-finished product]"
"singkatan pot kopi","stands for coffee pots"
"singkatan dari piring","stands for dishes"
"singkatan mandi bayi portabel","stands for portable baby baths"
"patung-patung porselen, terakota atau kaca","statues of porcelain, terra-cotta or glass"
"patung terra-cotta","statues of terra-cotta"
"keranjang pengukus","steamer baskets"
"wol baja","steel wool"
"wol baja untuk membersihkan","steel wool for cleaning"
"pemegang tangkai","stemware holders"
"panci rebus",stew-pans
"panci tumis","stir-fry pans"
"vas lantai batu","stone floor vases"
"saringan untuk keperluan rumah tangga","strainers for household purposes"
"saringan, bukan dari logam mulia","strainers, not of precious metal"
"mangkuk gula","sugar bowls"
"mangkuk gula, bukan dari logam mulia","sugar bowls, not of precious metal"
"sendok gula untuk keperluan rumah tangga","sugar scoops for household purposes"
"penjepit gula","sugar tongs"
"suncatcher terbuat dari kaca","suncatchers made of glass"
"suribachi [mortir gerabah gaya Jepang]","suribachi [Japanese-style earthenware mortars]"
"penggulung sushi","sushi rollers"
"tikar sushi bergulir","sushi rolling mats"
"Panci panekuk Swedia","Swedish pancake pans"
"serat sintetis untuk kuas","synthetic fibers for brushes"
"jarum suntik untuk keperluan kuliner","syringes for culinary purposes"
"kendi sirup","syrup jugs"
"meja centrepieces [ornamen] terbuat dari keramik","table centrepieces [ornaments] made of ceramic"
"meja centrepieces [ornamen] terbuat dari cina","table centrepieces [ornaments] made of china"
"table centrepieces [ornamen] terbuat dari tembikar","table centrepieces [ornaments] made of earthenware"
"meja centrepieces [ornamen] terbuat dari porselen","table centrepieces [ornaments] made of porcelain"
"table centrepieces [ornamen] terbuat dari terra-cotta","table centrepieces [ornaments] made of terra-cotta"
"pemegang taplak meja","tablecloth holders"
"bobot taplak meja","tablecloth weights"
"cangkir kertas","table cups of paper"
"taplak meja, bukan dari kertas atau tekstil","tablemats, not of paper or textile"
"taplak meja dari bambu","tablemats of bamboo"
"taplak meja dari logam biasa","tablemats of common metal"
"taplak gabus","tablemats of cork"
"taplak meja dari kulit","tablemats of leather"
"taplak meja dari logam","tablemats of metal"
"taplak plastik tidak menjadi pengganti tekstil","tablemats of plastic not being a textile substitute"
"taplak meja dari logam mulia","tablemats of precious metal"
"taplak meja dari karet","tablemats of rubber"
"taplak meja dari kayu","tablemats of wood"
"pemegang serbet meja","table napkin holders"
"piring meja","table plates"
"piring meja, bukan dari logam mulia","table plates, not of precious metal"
"piring meja kertas","table plates of paper"
"mug minum pintar dengan chip pintar bawaan untuk pembayaran tanpa uang tunai","smart drinking mugs with built-in smart chips for cashless payments"
"mug minum pintar dengan chip pintar bawaan untuk pembayaran tanpa kontak","smart drinking mugs with built-in smart chips for contactless payments"
"peredam asap untuk keperluan rumah tangga","smoke absorbers for household purposes"
"hidangan siput","snail dishes"
"penjepit siput","snail tongs"
"kotak sabun","soap boxes"
"kurung sabun","soap brackets"
"wadah sabun","soap containers"
"dispenser sabun","soap dispensers"
"tempat sabun","soap holders"
"sapu lembut","soft brooms"
"mangkuk sup","soup bowls"
"mangkuk sup, bukan dari logam mulia","soup bowls, not of precious metal"
"mangkuk sup dari logam mulia","soup bowls of precious metal"
"sup tureens","soup tureens"
"souvenir datar","souvenir plates"
"spatula untuk menerapkan lilin panas [persiapan obat menghilangkan rambut]","spatulas for applying hot wax [depilatory preparations]"
"spatula untuk menerapkan lilin panas untuk menghilangkan rambut","spatulas for applying hot wax for hair removal"
"spatula untuk penggunaan dapur","spatulas for kitchen use"
"kaca berbintik-bintik [produk setengah jadi]","speckled glass [semi-finished product]"
"pabrik rempah, dioperasikan dengan tangan","spice mills, hand-operated"
"rak bumbu","spice racks"
"set rempah-rempah","spice sets"
"layar percikan untuk penggunaan dapur","splatter screens for kitchen use"
"pemegang spons","sponge holders"
"spons pel","sponge mops"
"spons untuk memakai bedak","sponges for applying body powder"
"spons untuk menerapkan make-up","sponges for applying make-up"
"spons untuk menerapkan atau menghapus make-up","sponges for applying or removing make-up"
"Spons untuk keperluan rumah tangga","sponges for household purposes"
"spons untuk menghapus make-up","sponges for removing make-up"
"sandaran sendok","spoon rests"
"botol olahraga, kosong","sports bottles, empty"
"botol semprot","spray bottles"
"botol semprot, kosongkan","spray bottles, empty"
"tongkat semprotan untuk selang taman","sprayer wands for garden hoses"
"semprotan nozel untuk selang taman","spray nozzles for garden hoses"
"gelas pintal","spun glass"
"alat pembersih [instrumen pembersih]","squeegees [cleaning instruments]"
"toples gerabah untuk macet dan jeli","earthenware jars for jams and jellies"
"mug tembikar","earthenware mugs"
"panci tembikar","earthenware saucepans"
"patung gerabah","earthenware statues"
"pengocok telur, non-listrik","egg beaters, non-electric"
"cangkir telur","egg cups"
"cangkir telur, bukan dari logam mulia","egg cups, not of precious metal"
"cangkir telur dari logam mulia","egg cups of precious metal"
"pemburu telur","egg poachers"
"pemisah telur, non-listrik, untuk keperluan rumah tangga","egg separators, non-electric, for household purposes"
"pemisah kuning telur","egg yolk separators"
"aplikator listrik untuk menerapkan kosmetik ke bulu mata","electrical applicators for applying cosmetics to eyelashes"
"sikat rambut yang dipanaskan dengan listrik","electrically heated hair brushes"
"sikat listrik, kecuali bagian dari mesin","electric brushes, except parts of machines"
"sisir listrik","electric combs"
"perangkat listrik untuk menarik dan membunuh serangga","electric devices for attracting and killing insects"
"sikat eksfoliasi listrik","electric exfoliating brushes"
"sikat rambut listrik","electric hair brushes"
"sikat udara panas listrik","electric hot air brushes"
"penghilang serat listrik","electric lint removers"
"sikat rambut listrik berputar","electric rotating hair brushes"
"kaca berenamel, bukan untuk bangunan","enamelled glass, not for building"
epergnes,epergnes
"epergnes, bukan dari logam mulia","epergnes, not of precious metal"
"epergnes dari logam mulia","epergnes of precious metal"
"sikat pengelupasan","exfoliating brushes"
"bantalan eksfoliasi","exfoliating pads"
"sandal pengelupasan","exfoliating slippers"
"sikat alis","eyebrow brushes"
"sikat bulu mata","eyelash brushes"
"sikat bulu mata, sisir dan pemisah","eyelash brushes, combs and separators"
"sisir bulu mata","eyelash combs"
"pemisah bulu mata","eyelash separators"
"bantalan buffing wajah","facial buffing pads"
"sikat pembersih wajah","facial cleansing brushes"
"spons pembersih wajah","facial cleansing sponges"
"spons wajah untuk merias wajah","facial sponges for applying make-up"
"aspergillum dari logam mulia","aspergillums of precious metal"
"atomizers untuk keperluan rumah tangga","atomizers for household purposes"
"kotak sampah otomatis untuk hewan peliharaan","automatic litter boxes for pets"
"dispenser sabun otomatis","automatic soap dispensers"
"tempat mandi bayi, dapat dipindah","baby baths, portable"
"bak mandi bayi","baby bath tubs"
"gelas dan mangkuk bayi [peralatan makan bayi]","baby cups and bowls [baby tableware]"
"penggaruk punggung","back scratchers"
"ember umpan","bait buckets"
"stasiun umpan, kosong, untuk memberi makan rodentisida kepada tikus","bait stations, empty, for feeding rodenticides to rodents"
bakeware,bakeware
"Cup kue dari kertas","baking cups of paper"
"piring keramik untuk memanggang","baking dishes"
"loyang untuk memanggang","baking pans"
"nampan untuk memanggang","baking trays"
"keranjang bambu untuk keperluan rumah tangga","bamboo baskets for domestic use"
"talenan bambu","bamboo chopping boards"
"garpu barbekyu","barbecue forks"
"Penjepit untuk menyajikan barbekyu","barbecue serving tongs"
"turner barbekyu","barbecue turners"
"sapu bulu","feather brooms"
"lap bulu",feather-dusters
"tiriskan botol susu","feeding bottle drainers"
"palung makan","feeding troughs"
"memberi makan palung untuk ternak","feeding troughs for livestock"
"memberi makan palung untuk babi","feeding troughs for pigs"
"palung makanan untuk unggas","feeding troughs for poultry"
"memberi makan palung logam untuk ternak","feeding troughs of metal for cattle"
"sendok pupuk untuk keperluan rumah tangga","fertilizer scoops for household purposes"
"fiberglass, selain untuk insulasi atau penggunaan tekstil","fiberglass, other than for insulation or textile use"
"benang fiberglass, selain untuk penggunaan tekstil","fiberglass thread, other than for textile use"
"web fiberglass untuk konversi menjadi berbagai barang industri dan konsumen","fiberglass web for conversion into a variety of industrial and consumer goods"
"kaca berpola, bukan untuk bangunan","figured glass, not for building"
"patung-patung porselen, keramik, gerabah atau kaca","figurines of porcelain, ceramic, earthenware or glass"
"patung-patung porselen, keramik, gerabah, terra-cotta atau kaca","figurines of porcelain, ceramic, earthenware, terra-cotta or glass"
"patung-patung terra cotta","figurines of terra cotta"
"patung-patung [patung] dari porselen, terra-cotta atau kaca","figurines [statuettes] of porcelain, terra-cotta or glass"
"filamen untuk membuat kuas","filaments for making brushes"
"filter untuk digunakan dalam kotak kotoran kucing","filters for use in cat litter boxes"
"sikat piring bisbol","baseball plate brushes"
"baskom [wadah]","basins [receptacles]"
"keranjang untuk penggunaan rumah tangga, bukan dari logam","baskets for domestic use, not of metal"
"keranjang untuk penggunaan rumah tangga, dari logam","baskets for domestic use, of metal"
"keranjang, untuk penggunaan rumah tangga, dari papier mâché","baskets, for domestic use, of papier mâché"
"keranjang untuk keperluan rumah tangga","baskets for household purposes"
"baster untuk penggunaan dapur","basters for kitchen use"
"basting sendok [peralatan memasak]","basting spoons [cooking utensils]"
"sikat mandi","bath brushes"
"mandi caddies","bath caddies"
"pemegang kaca kamar mandi","bathroom glass holders"
"ember kamar mandi","bathroom pails"
"tempat handuk pada kamar mandi","bathroom towel holders"
"gelas kamar mandi","bathroom tumblers"
"spons mandi","bath sponges"
"sikat bak mandi","bathtub brushes"
"dispenser adonan untuk penggunaan dapur","batter dispensers for kitchen use"
"sikat eksfoliasi yang dioperasikan dengan baterai","battery-operated exfoliating brushes"
"penghilang serat yang dioperasikan dengan baterai","battery-operated lint removers"
"aplikator bertenaga baterai untuk menerapkan kosmetik pada bulu mata","battery-powered applicators for applying cosmetics to eyelashes"
"benang gigi bertenaga baterai","battery-powered dental flossers"
"gelas [kapal minum]","beakers [drinking vessels]"
"pengocok, non-listrik","beaters, non-electric"
"gelas bir","beer glasses"
"gelas bir","beer mugs"
"kendi bir","beer pitchers"
"gelas bir","beer steins"
"tankard bir","beer tankards"
"kotak bento","bento boxes"
"botol minuman","beverage bottles"
"gelas minuman","beverage glasses"
"gelas minuman","beverage glassware"
"pengaduk minuman","beverage stirrers"
beverageware,beverageware
"cangkir 3D-polycapsule biodegradable","biodegradable 3D-polycapsule cups"
"mangkuk biodegradable","biodegradable bowls"
"mangkuk berbasis pulp kertas biodegradable","biodegradable paper pulp-based bowls"
"gelas berbasis bubur kertas biodegradable","biodegradable paper pulp-based cups"
"piring, mangkuk dan gelas berbasis pulp yang dapat terurai secara hayati","biodegradable paper pulp-based plates, bowls and cups"
"piring meja dari logam mulia","table plates of precious metal"
"peralatan makan untuk bayi dan anak-anak, selain pisau, garpu dan sendok, bukan dari logam mulia","tableware for babies and children, other than knives, forks and spoons, not of precious metal"
"peralatan makan untuk bayi dan anak-anak, selain pisau, garpu dan sendok, dari logam mulia","tableware for babies and children, other than knives, forks and spoons, of precious metal"
"peralatan makan, selain pisau, garpu, dan sendok","tableware, other than knives, forks and spoons"
"peralatan makan, selain pisau, garpu dan sendok, bukan dari logam mulia","tableware, other than knives, forks and spoons, not of precious metal"
"peralatan makan, selain pisau, garpu dan sendok, dari logam mulia","tableware, other than knives, forks and spoons, of precious metal"
"tajines, non-listrik","tajines, non-electric"
tankards,tankards
"tar-brush, sudah lama ditangani","tar-brushes, long handled"
"kantong teh bersandar","tea bag rests"
"teh caddies, bukan dari logam mulia","tea caddies, not of precious metal"
"teh caddies dari logam mulia","tea caddies of precious metal"
"cosies teh","tea cosies"
"gelas teh",teacups
"pembuat teh","tea infusers"
"pembuat teh, bukan dari logam mulia","tea infusers, not of precious metal"
"pembuat teh dari logam mulia","tea infusers of precious metal"
"ceret teh, non-listrik","tea kettles, non-electric"
teko,teapots
"teko, bukan dari logam mulia","teapots, not of precious metal"
"teko dari logam mulia","teapots of precious metal"
"poci teh berdiri","teapot stands"
"piring teh","tea saucers"
"layanan teh, bukan dari logam mulia","tea services, not of precious metal"
"Perangkat minuman teh [alat makan]","tea services [tableware]"
"saringan teh","tea strainers"
"saringan teh, bukan dari logam mulia","tea strainers, not of precious metal"
"saringan teh dari logam mulia","tea strainers of precious metal"
"baki pemutih gigi [wadah] untuk digunakan di rumah","teeth whitening trays [receptacles] for home use"
"kaca tempered, bukan untuk bangunan","tempered glass, not for building"
"tetsubin [ceret besi cor Jepang], non-listrik","tetsubin [Japanese cast iron kettles], non-electric"
"tas terisolasi termal untuk makanan atau minuman","thermally insulated bags for food or beverages"
"wadah terisolasi termal untuk minuman","thermally insulated containers for beverages"
"wadah terisolasi termal untuk makanan","thermally insulated containers for food"
"wadah terisolasi termal untuk makanan atau minuman","thermally insulated containers for food or beverages"
"tas jinjing terisolasi termal untuk makanan atau minuman","thermally insulated tote bags for food or beverages"
"membungkus dengan isolasi termal untuk kaleng agar isinya tetap panas atau dingin","thermally insulated wraps for cans to keep the contents hot or cold"
"dasi pengikat","tie presses"
"server makanan berjenjang","tiered food servers"
"mural ubin mosaik kaca","tile murals of mosaics of glass"
"penutup kotak tisu","tissue box covers"
"penutup kotak tisu dari kain","tissue box covers of fabric"
"rak roti panggang","toast racks"
"sikat toilet","toilet brushes"
"pemegang sikat toilet","toilet brush holders"
"set sikat toilet","toilet brush sets"
"dispenser kertas toilet","toilet paper dispensers"
"tempat kertas toilet","toilet paper holders"
"pendorong toilet","toilet plungers"
"spons toilet","toilet sponges"
"peralatan toilet","toilet utensils"
"tokkuri [botol melayani sake]","tokkuri [sake serving bottles]"
"bulu sikat gigi","toothbrush bristles"
"tempat  sikat gigi","toothbrush cases"
"minum palung untuk unggas","drinking troughs for poultry"
"kapal minum","drinking vessels"
"pembuat kopi tetes, non-listrik","drip coffee makers, non-electric"
"kerah tetesan untuk botol anggur","drip collars for wine bottles"
"panci menetes","dripping pans"
"dropper untuk keperluan kosmetik","droppers for cosmetic purposes"
"dropper untuk keperluan rumah tangga","droppers for household purposes"
"papan pengering untuk kimono","drying boards for kimonos"
"tempat sampah",dustbins
"lap debu",dusters
"alat penghapus debu, non-listrik","dusting apparatus, non-electric"
"sikat debu","dusting brushes"
"kain pembersih [lap]","dusting cloths [rags]"
"sarung tangan debu","dusting gloves"
Pengki,dustpans
tembikar,earthenware
"patung tembikar","earthenware busts"
gerabah,"earthenware figurines"
"toples tembikar","earthenware jars"
"sarung tangan untuk keperluan rumah tangga","gloves for household purposes"
"usungan sarung tangan","glove stretchers"
lem-pot,glue-pots
piala,goblets
"piala, bukan dari logam mulia","goblets, not of precious metal"
"gelas dari logam mulia","goblets of precious metal"
"mangkuk ikan mas","goldfish bowls"
"Gotoku [trivets untuk pemanas arang Jepang untuk keperluan rumah tangga]","gotoku [trivets for japanese charcoal heaters for household purposes]"
"sendok biji-bijian untuk keperluan rumah tangga","grain scoops for household purposes"
"alat penyiram rumput","grass sprinklers"
"parut untuk penggunaan dapur","graters for kitchen use"
"kapal saus","gravy boats"
"perahu saus, bukan dari logam mulia","gravy boats, not of precious metal"
"kapal saus dari logam mulia","gravy boats of precious metal"
"jarum suntik rumah kaca","greenhouse syringes"
"panci wajan","griddle pans"
"papan kayu bakar","grilling planks of wood"
"panci panggangan","grill pans"
"panggangan [peralatan memasak]","grills [cooking utensils]"
"pencakar panggangan [artikel pembersih]","grill scrapers [cleaning articles]"
"penggiling, [peralatan dapur] yang dioperasikan dengan tangan","grinders, hand-operated [kitchen utensils]"
"penggiling, non-listrik, untuk keperluan rumah tangga","grinders, non-electric, for household purposes"
"kaca plat tanah [produk setengah jadi]","ground plate glass [semi-finished product]"
"menumbuhkan tenda","grow tents"
"gujeolpan [piring saji pernis sembilan bagian]","gujeolpan [nine-sectioned lacquerware serving plates]"
"pemotong pasta gusi","gum paste cutters"
"hachi [mangkuk saji gaya Jepang]","hachi [Japanese-style serving bowls]"
"sikat rambut",hairbrushes
"sikat aplikasi warna rambut","hair color application brushes"
"sisir rambut","hair combs"
"sisir rambut, listrik","hair combs, electric"
"rambut untuk kuas","hair for brushes"
"atomizers yang dioperasikan dengan tangan untuk keperluan rumah tangga","hand-operated atomizers for household purposes"
"alat dapur yang dioperasikan dengan tangan untuk mencacah makanan","hand-operated kitchen implements for mincing food"
"alat penguap yang dioperasikan dengan tangan untuk keperluan rumah tangga","hand-operated vaporizers for household purposes"
"baskom cuci [mangkok, bukan bagian dari instalasi sanitasi]","hand wash basins [bowls, not parts of sanitary installations]"
"sapu keras","hard brooms"
"Kepala sikat gigi listrik","heads for electric toothbrushes"
"pemanas untuk botol susu, bukan listrik","heaters for feeding bottles, non-electric"
"wadah berisolasi panas","heat-insulated containers"
"wadah berisolasi panas untuk minuman","heat-insulated containers for beverages"
"wadah berisolasi panas untuk keperluan rumah tangga","heat-insulated containers for household purposes"
"gerabah domestik dari insulasi panas","heat-insulated domestic vessels of earthenware"
"kapal porselen domestik yang diinsulasi panas","heat-insulated domestic vessels of porcelain"
"kacamata highball","highball glasses"
"pemegang untuk talenan","holders for cutting boards"
"pemegang untuk bunga dan tanaman [merangkai bunga]","holders for flowers and plants [flower arranging]"
"pemegang untuk setrika rumah tangga","holders for household irons"
"pemegang untuk kantong plastik, untuk keperluan rumah tangga","holders for plastic bags, for household purposes"
"tempat lilin lilin","holders for votive candles"
"ornamen liburan dari keramik, selain ornamen pohon","holiday ornaments of ceramic, other than tree ornaments"
"barang berlubang","hollow ware"
"bejana air suci, bukan dari logam mulia","holy water vessels, not of precious metal"
"piring biodegradable","biodegradable plates"
"nampan biodegradable untuk keperluan rumah tangga","biodegradable trays for domestic purposes"
"mandi burung, bukan menjadi struktur","bird baths, not being structures"
"sangkar burung",birdcages
"sangkar burung untuk unggas domestik","birdcages for domestic birds"
"pengumpan burung","bird feeders"
"meja makan burung","bird feeding tables"
"blender, non-listrik, untuk persiapan makanan","blenders, non-electric, for food preparation"
"blender, non-listrik, untuk keperluan rumah tangga","blenders, non-electric, for household purposes"
"spons lulur","body scrub sponges"
"spons tubuh","body sponges"
"jack boot","boot jacks"
"boot tandu dari kayu","boot stretchers of wood"
"pohon boot","boot trees"
"tas bota","bota bags"
"sikat botol","bottle brushes"
"pembuka botol","bottle openers"
"pembuka botol, listrik","bottle openers, electric"
"pembuka botol, listrik dan non-listrik","bottle openers, electric and non-electric"
"pembuka botol, non-listrik","bottle openers, non-electric"
botol,bottles
"botol, kosong, untuk obat-obatan","bottles, empty, for pharmaceuticals"
"botol untuk mengaplikasikan warna rambut","bottles for applying hair color"
"botol, dijual kosong","bottles, sold empty"
"penyangga botol","bottle stands"
"sumbat botol kaca","bottle stoppers of glass"
"mangkuk [baskom]","bowls [basins]"
"mangkuk untuk digunakan dalam pewarnaan rambut","bowls for use in hair tinting"
"mangkuk, bukan dari logam mulia","bowls, not of precious metal"
"mangkuk dari logam mulia","bowls of precious metal"
"kotak untuk mengeluarkan handuk kertas","boxes for dispensing paper towels"
"kotak untuk mengeluarkan handuk kertas, untuk keperluan rumah tangga","boxes for dispensing paper towels, for household purposes"
"kotak-kotak kaca","boxes of glass"
"kotak logam, untuk mengeluarkan handuk kertas","boxes of metal, for dispensing paper towels"
"keranjang roti untuk keperluan rumah tangga","bread baskets for household purposes"
"tempat roti","bread bins"
"papan roti","bread boards"
"gagang sapu","broom handles"
"gagang sapu, bukan dari logam","broom handles, not of metal"
"gagang sapu dari logam","broom handles of metal"
"gagang sapu dari kayu","broom handles of wood"
sapu,brooms
"kuas *",brushes*
"sikat untuk mengolesi daging","brushes for basting meat"
"sikat untuk meja biliar","brushes for billiard tables"
"sikat untuk membersihkan komponen sepeda","brushes for cleaning bicycle components"
"sikat untuk membersihkan lensa kamera","brushes for cleaning camera lenses"
"sikat untuk membersihkan untuk keperluan rumah tangga","brushes for cleaning for household purposes"
"sikat untuk membersihkan peralatan golf","brushes for cleaning golf equipment"
"sikat untuk membersihkan alat musik","brushes for cleaning musical instruments"
"sikat untuk membersihkan peralatan olahraga","brushes for cleaning sports equipment"
"sikat untuk membersihkan tangki dan wadah","brushes for cleaning tanks and containers"
"sikat untuk alas kaki","brushes for footwear"
"sikat untuk merawat hewan","brushes for grooming animals"
"kuas untuk grooming golf menempatkan hijau","brushes for grooming golf putting greens"
"sikat untuk kuda perawatan","brushes for grooming horses"
"sikat untuk merawat hewan peliharaan","brushes for grooming pet animals"
"sikat untuk keperluan rumah tangga","brushes for household purposes"
"sikat untuk lantai parket","brushes for parquet floors"
"kapsul kopi resuable dari plastik","resuable coffee capsules of plastic"
"kapsul kopi ginseng resuable dari plastik","resuable ginseng coffee capsules of plastic"
"kapsul teh plastik","resuable tea capsules of plastic"
"bingkai untuk mengeringkan dan mempertahankan bentuk item pakaian","frames for drying and maintaining the shape of clothing items"
"Pers Perancis","French press"
"frit [kaca tanah yang digunakan dalam pembuatan kaca]","frit [ground glass used in glassmaking]"
"mangkuk buah dari kaca","fruit bowls of glass"
"cangkir buah","fruit cups"
"ekstraktor jus buah, non-listrik","fruit juice extractors, non-electric"
"muddlers buah","fruit muddlers"
"pengepres buah, non-listrik, untuk keperluan rumah tangga","fruit presses, non-electric, for household purposes"
"pemeras buah, non-listrik","fruit squeezers, non-electric"
"tutup penggorengan","frying pan lids"
"panci penggorengan","frying pans"
corong,funnels
"corong untuk penggunaan dapur","funnels for kitchen use"
"dusters furnitur","furniture dusters"
"silika leburan [kuarsa], setengah dikerjakan, untuk digunakan dalam pembuatan","fused silica [quartz], semi-worked, for use in manufacture"
"silika leburan, semi-dikerjakan, untuk digunakan dalam pembuatan","fused silica, semi-worked, for use in manufacture"
"silika leburan [produk setengah jadi], selain untuk bangunan","fused silica [semi-worked product], other than for building"
"ember sampah","garbage pails"
"sarung tangan berkebun","gardening gloves"
"jarum suntik taman","garden syringes"
"menanam mangkuk","plant bowls"
"pekebun [pot]","planters [pots]"
"menanam tenda yang sedang tumbuh","plant growing tents"
"pemegang tanaman","plant holders"
"plak dari porselen, keramik, gerabah atau kaca","plaques of porcelain, ceramic, earthenware or glass"
"rak mandi plastik [caddies]","plastic bath racks [caddies]"
"bak mandi plastik untuk anak-anak","plastic bath tubs for children"
"botol-botol plastik","plastic bottles"
"botol plastik untuk kemasan","plastic bottles for packaging"
"mangkuk plastik","plastic bowls"
"ember plastik","plastic buckets"
"ember plastik untuk menyimpan mainan mandi","plastic buckets for storing bath toys"
"talenan dari plastik","plastic chopping boards"
"wadah plastik untuk keperluan rumah tangga","plastic containers for household use"
"wadah plastik untuk penggunaan dapur","plastic containers for kitchen use"
"gelas plastik","plastic cups"
"tempat telur plastik untuk keperluan rumah tangga","plastic egg holders for household purposes"
"keranjang belanja genggam plastik untuk keperluan rumah tangga","plastic hand-held shopping baskets for domestic use"
"wadah penyimpanan rumah tangga plastik untuk sereal","plastic household storage containers for cereals"
"toples plastik untuk keperluan rumah tangga","plastic jars for household purposes"
"toples plastik untuk selai dan jeli","plastic jars for jams and jellies"
"cetakan plastik untuk keperluan rumah tangga dalam pembuatan sabun","plastic molds for household use in making soap"
"cetakan plastik untuk es lilin","plastic molds for ice pops"
"mug plastik","plastic mugs"
"nozel plastik untuk kaleng penyiraman logam","plastic nozzles for metal watering cans"
"piring plastik","plastic plates"
"nozel semprot plastik untuk penyiraman selang","plastic spray nozzles for watering hoses"
"botol air plastik, kosong","plastic water bottles, empty"
"plat kaca untuk jendela mobil [produk setengah jadi]","plate glass for car windows [semi-finished product]"
"piring kaca [bahan baku]","plate glass [raw material]"
"piring untuk minyak aromatik yang menyebar","plates for diffusing aromatic oil"
"piring untuk hors d'oeuvres","plates for hors d'Å“uvres"
"plug-in diffusers untuk penolak nyamuk","plug-in diffusers for mosquito repellents"
"plunger untuk membersihkan saluran yang tersumbat","plungers for clearing blocked drains"
"pembuat kopi gaya plunger, non-listrik","plunger-style coffee makers, non-electric"
"gelas plat dipoles [produk setengah jadi]","polished plate glass [semi-finished product]"
"peralatan dan mesin pemoles, untuk keperluan rumah tangga, non-listrik","polishing apparatus and machines, for household purposes, non-electric"
"kain pemoles","polishing cloths"
"sarung tangan pemoles","polishing gloves"
"cangkir yang dapat digunakan kembali dengan chip cerdas bawaan untuk pembayaran tanpa uang tunai","reusable cups with built-in smart chips for cashless payments"
"gelas minum yang dapat digunakan kembali dengan chip pintar bawaan untuk pembayaran tanpa uang tunai","reusable drinking cups with built-in smart chips for cashless payments"
"gelas minum yang dapat digunakan kembali dengan chip cerdas bawaan untuk pembayaran tanpa kontak","reusable drinking cups with built-in smart chips for contactless payments"
"es batu yang dapat digunakan kembali","reusable ice cubes"
"mug yang dapat digunakan kembali","reusable mugs"
"botol air plastik yang dapat digunakan kembali","reusable plastic water bottles"
"botol air plastik yang dapat digunakan kembali, kosong","reusable plastic water bottles, empty"
"pelindung jari silikon yang dapat digunakan kembali untuk menangani popok kain kotor","reusable silicone finger guards for handling of dirty cloth diapers"
"penutup makanan silikon dapat digunakan kembali","reusable silicone food covers"
"penutup makanan silikon dapat digunakan kembali untuk mangkuk, panci, wajan dan cangkir","reusable silicone food covers for bowls, pots, pans and cups"
"tutup silikon yang dapat digunakan kembali untuk mangkuk, panci, wajan dan cangkir","reusable silicone lids for bowls, pots, pans and cups"
"botol air stainless steel yang dapat digunakan kembali","reusable stainless steel water bottles"
"botol air stainless steel yang dapat digunakan kembali, kosong","reusable stainless steel water bottles, empty"
"pengaduk plastik yang dapat digunakan kembali untuk minuman","reusable stirrers of plastics for beverages"
"penanak nasi untuk digunakan dalam oven microwave","rice cookers for use in microwave ovens"
"sendok beras untuk keperluan rumah tangga","rice scoops for household purposes"
"cincin untuk burung","rings for birds"
"cincin untuk mengidentifikasi burung","rings for identifying birds"
"ember pembilasan","rinsing buckets"
"bak pembilasan","rinsing tubs"
"vas bunga ritual","ritual flower vases"
"piring memanggang","roasting dishes"
"panci panggang","roasting pans"
"perangkap tikus","rodent traps"
"batang kaca untuk digunakan dalam pembuatan","rods of glass for use in manufacture"
"rolling pin untuk penggunaan dapur","rolling pins for kitchen use"
"rotary parut keju","rotary cheese graters"
"rotary parut keju, non-listrik","rotary cheese graters, non-electric"
"garis cuci putar","rotary washing lines"
"sarung tangan karet untuk keperluan rumah tangga","rubber gloves for household purposes"
"kaca pengaman, bukan untuk bangunan","safety glass, not for building"
"cangkir sake","sake cups"
"gelas sake, bukan dari logam mulia","sake cups, not of precious metal"
"cangkir demi logam mulia","sake cups of precious metal"
"mangkuk salad","salad bowls"
"mangkuk salad dari logam mulia","salad bowls of precious metal"
"pemintal salad","salad spinners"
"penjepit salad","salad tongs"
"tempat (shakers) garam dan merica","salt and pepper shakers"
"gudang garam","salt cellars"
"gudang garam, bukan dari logam mulia","salt cellars, not of precious metal"
"gudang garam dari logam mulia","salt cellars of precious metal"
"pabrik garam, dioperasikan dengan tangan","salt mills, hand-operated"
"samovars, non-listrik","samovars, non-electric"
"kotak sandwich","sandwich boxes"
"tutup panci","saucepan lids"
"penggosok panci","saucepan scourers"
"penggosok panci dari logam","saucepan scourers of metal"
piring,saucers
"penekan bawang putih [peralatan dapur]","garlic presses [kitchen utensils]"
"ampul gelas untuk pengobatan, kosongkan","glass ampoules for medication, empty"
"jeruji kaca, bukan untuk bangunan","glass bars, not for building"
"botol kaca","glass bottles"
"mangkuk kaca","glass bowls"
"bola kaca [wadah]","glass bulbs [receptacles]"
"patung kaca","glass busts"
"gelas kaca","glass carafes"
"kartrid kaca untuk obat, kosong","glass cartridges for medication, empty"
"gelas kaca","glass decanters"
"gelas [wadah]","glasses [receptacles]"
"roving serat kaca, selain untuk penggunaan tekstil","glass fiber rovings, other than for textile use"
"serat kaca, selain untuk penggunaan tekstil","glass fibers, other than for textile use"
